"Id_Attribution_Materiel_Prof","Cle_Personnel","Clé_Elève","Cle_Inventaire_Materiel","Date_Heure_Pret_Materiel","Date_Heure_Retour_Materiel","Clé_Etat_Initial","Clé_Etat_Final","Dégradation","Remise"
2626,,483,526,2023-09-05 10:37:39.000,,7,,0,0
2627,,483,508,2023-09-05 10:37:43.000,,7,,0,0
2643,,388,896,2023-09-05 10:40:37.000,,7,,0,0
2795,,401,891,2023-09-05 11:04:17.000,,7,,0,0
2798,,401,1006,2023-09-05 11:04:35.000,,7,,0,0
2820,91,,1497,2023-09-05 11:07:39.000,,7,,0,0
2843,,347,783,2023-09-05 11:13:09.000,,7,,0,0
2851,,396,1813,2023-09-05 11:13:38.000,,7,,0,0
2857,,602,808,2023-09-05 11:14:06.000,,7,,0,0
2871,,403,1732,2023-09-05 11:15:04.000,,2,,0,0
2872,,403,1799,2023-09-05 11:15:06.000,,7,,0,0
2873,,403,953,2023-09-05 11:15:09.000,,7,,0,0
2874,,403,762,2023-09-05 11:15:11.000,,7,,0,0
2875,,403,874,2023-09-05 11:15:13.000,,7,,0,0
2917,,412,788,2023-09-05 11:18:40.000,,7,,0,0
2956,,350,1132,2023-09-05 11:23:23.000,,7,,0,0
2958,,350,1390,2023-09-05 11:23:27.000,,7,,0,0
3013,,112,1314,2023-09-05 11:27:47.000,,7,,0,0
3136,81,,1244,2023-09-05 11:46:43.000,,7,,0,0
3192,,517,1516,2023-09-06 10:15:50.000,,7,,0,0
3193,,517,235,2023-09-06 10:16:10.000,,7,,0,0
3198,,621,1612,2023-09-06 10:17:07.000,,1,,0,0
3200,,621,218,2023-09-06 10:17:20.000,,7,,0,0
3201,,621,296,2023-09-06 10:17:22.000,,7,,0,0
3290,,603,314,2023-09-06 10:30:57.000,,7,,0,0
3306,,564,195,2023-09-06 10:32:02.000,,7,,0,0
3328,77,,948,2023-09-06 10:35:05.000,,7,,0,0
3403,,618,1571,2023-09-07 11:23:29.000,,1,,0,0
3406,,570,1558,2023-09-07 11:24:06.000,,1,,0,0
3429,97,,983,2023-09-28 10:31:53.000,,7,,0,0
3430,97,,945,2023-09-28 10:32:02.000,,7,,0,0
3431,97,,977,2023-09-28 10:32:05.000,,7,,0,0
3432,97,,1414,2023-09-28 10:32:07.000,,1,,0,0
3433,97,,942,2023-09-28 10:32:09.000,,7,,0,0
3434,97,,925,2023-09-28 10:32:10.000,,7,,0,0
3435,97,,966,2023-09-28 10:32:11.000,,7,,0,0
3436,97,,928,2023-09-28 10:32:12.000,,7,,0,0
3437,97,,964,2023-09-28 10:32:13.000,,7,,0,0
3438,97,,981,2023-09-28 10:32:16.000,,7,,0,0
3439,97,,930,2023-09-28 10:32:18.000,,7,,0,0
3468,,350,1861,2023-11-09 08:06:35.000,,1,,0,0
3564,,521,1956,2023-11-16 10:49:13.000,,1,,0,0
3570,,483,1951,2023-11-16 10:50:49.000,,1,,0,0
3572,,536,1949,2023-11-16 10:51:04.000,,1,,0,0
3604,,470,1940,2023-11-16 11:26:35.000,,1,,0,0
3624,70,,1093,2024-06-25 14:57:51.000,,1,,0,0
3627,70,,1299,2024-06-25 14:57:51.000,,1,,0,0
3628,70,,1322,2024-06-25 14:57:51.000,,1,,0,0
3629,70,,1375,2024-06-25 14:57:51.000,,1,,0,0
3631,70,,776,2024-06-27 08:10:37.000,,7,,0,0
3632,70,,779,2024-06-27 08:11:05.000,,7,,0,0
3633,70,,1033,2024-06-27 08:44:12.000,,1,,0,0
3634,70,,1043,2024-06-27 08:44:12.000,,1,,0,0
3635,70,,1066,2024-06-27 08:44:12.000,,1,,0,0
3636,70,,1072,2024-06-27 08:44:12.000,,1,,0,0
3637,70,,483,2024-06-27 08:54:50.000,,1,,0,0
3640,70,,581,2024-06-27 08:54:50.000,,1,,0,0
3641,70,,590,2024-06-27 08:54:50.000,,1,,0,0
3650,70,,1619,2024-06-27 08:54:50.000,,1,,0,0
3651,70,,1622,2024-06-27 08:54:50.000,,1,,0,0
3656,70,,205,2024-06-27 10:08:42.000,,1,,0,0
3658,70,,1437,2024-06-27 10:08:42.000,,1,,0,0
3663,91,,1761,2024-06-28 09:26:05.000,,1,,0,0
3664,91,,1751,2024-06-28 09:26:21.000,,1,,0,0
3665,91,,1493,2024-06-28 09:27:11.000,,7,,0,0
3667,70,,1432,2024-06-28 09:28:19.000,,1,,0,0
3669,70,,1757,2024-06-28 10:53:09.000,,1,,0,0
3773,,614,510,2024-09-03 10:26:45.000,,7,,0,0
3774,,614,634,2024-09-03 10:26:47.000,,7,,0,0
3815,,675,547,2024-09-03 10:34:06.000,,7,,0,0
3816,,675,516,2024-09-03 10:34:10.000,,7,,0,0
3817,,675,626,2024-09-03 10:34:12.000,,7,,0,0
3818,,675,1905,2024-09-03 10:34:14.000,,1,,0,0
3827,,555,631,2024-09-03 10:35:09.000,,7,,0,0
4004,,496,821,2024-09-03 10:53:44.000,,7,,0,0
4013,,630,955,2024-09-03 10:54:19.000,,7,,0,0
4037,,418,845,2024-09-03 10:57:48.000,,7,,0,0
4038,,418,998,2024-09-03 10:57:49.000,,7,,0,0
4065,,508,872,2024-09-03 10:59:15.000,,7,,0,0
4105,,486,1728,2024-09-03 11:01:36.000,,2,,0,0
4238,,461,1736,2024-09-03 11:15:19.000,,2,,0,0
4239,,461,996,2024-09-03 11:15:32.000,,7,,0,0
4240,,461,950,2024-09-03 11:15:34.000,,7,,0,0
4241,,461,895,2024-09-03 11:15:36.000,,7,,0,0
4242,,461,811,2024-09-03 11:15:37.000,,7,,0,0
4247,,396,1735,2024-09-03 11:16:24.000,,2,,0,0
4256,,519,889,2024-09-03 11:17:00.000,,7,,0,0
4372,,442,1088,2024-09-03 11:28:00.000,,7,,0,0
4383,,495,1880,2024-09-03 11:28:45.000,,1,,0,0
4426,81,,918,2024-09-03 11:41:40.000,,7,,0,0
4503,,401,1477,2024-09-03 11:47:17.000,,7,,0,0
4505,,401,1185,2024-09-03 11:47:20.000,,7,,0,0
4506,,401,1080,2024-09-03 11:47:21.000,,7,,0,0
4539,,709,1329,2024-09-03 11:49:42.000,,7,,0,0
4555,,411,1310,2024-09-03 11:50:44.000,,7,,0,0
4557,70,,187,2024-09-03 12:06:42.000,,1,,0,0
4717,,553,246,2024-09-04 08:22:13.000,,7,,0,0
4721,,553,1566,2024-09-04 08:22:30.000,,1,,0,0
4724,,644,269,2024-09-04 08:23:01.000,,7,,0,0
4845,,655,334,2024-09-04 08:34:08.000,,7,,0,0
4848,99,,2164,2024-09-26 15:41:52.000,,3,,0,0
4849,99,,2139,2024-09-26 15:41:57.000,,1,,0,0
5044,70,,2213,2025-06-23 14:24:44.000,,3,,0,0
5047,70,,2086,2025-06-24 12:10:40.000,,3,,0,0
5049,70,,1068,2025-06-24 12:16:22.000,,7,,0,0
5052,70,,2133,2025-06-24 12:20:44.000,,1,,0,0
5054,70,,188,2025-06-24 14:22:29.000,,7,,0,0
5055,70,,1194,2025-06-24 16:22:14.000,,7,,0,0
5056,70,,876,2025-06-24 16:22:14.000,,7,,0,0
5059,81,,9,2025-07-04 15:21:39.000,,3,,0,0
5060,,629,2187,2025-09-02 09:58:41.000,,1,,0,0
5061,,629,1902,2025-09-02 09:59:41.000,,1,,0,0
5062,,629,473,2025-09-02 09:59:53.000,,7,,0,0
5063,,629,567,2025-09-02 09:59:57.000,,7,,0,0
5064,,629,636,2025-09-02 09:59:59.000,,7,,0,0
5065,,663,2192,2025-09-02 10:00:06.000,,1,,0,0
5066,,663,2210,2025-09-02 10:00:14.000,,1,,0,0
5067,,663,444,2025-09-02 10:00:16.000,,7,,0,0
5068,,663,1407,2025-09-02 10:00:17.000,,1,,0,0
5069,,664,670,2025-09-02 10:00:22.000,,7,,0,0
5070,,664,584,2025-09-02 10:00:30.000,,7,,0,0
5071,,664,446,2025-09-02 10:00:32.000,,7,,0,0
5072,,664,1914,2025-09-02 10:00:35.000,,1,,0,0
5073,,664,1637,2025-09-02 10:00:38.000,,7,,0,0
5074,,672,654,2025-09-02 10:00:44.000,,7,,0,0
5075,,672,585,2025-09-02 10:00:53.000,,7,,0,0
5076,,672,499,2025-09-02 10:00:56.000,,7,,0,0
5077,,672,2197,2025-09-02 10:00:58.000,,1,,0,0
5078,,672,1655,2025-09-02 10:01:02.000,,7,,0,0
5079,,666,561,2025-09-02 10:01:17.000,,7,,0,0
5080,,666,2190,2025-09-02 10:01:19.000,,1,,0,0
5081,,666,2203,2025-09-02 10:01:26.000,,1,,0,0
5082,,666,460,2025-09-02 10:01:29.000,,7,,0,0
5083,,666,666,2025-09-02 10:01:31.000,,7,,0,0
5084,,633,1935,2025-09-02 10:01:49.000,,1,,0,0
5085,,633,2186,2025-09-02 10:01:52.000,,1,,0,0
5086,,633,502,2025-09-02 10:01:53.000,,7,,0,0
5087,,633,551,2025-09-02 10:01:54.000,,7,,0,0
5088,,633,609,2025-09-02 10:01:56.000,,7,,0,0
5089,,668,2184,2025-09-02 10:02:02.000,,1,,0,0
5090,,668,1907,2025-09-02 10:02:05.000,,1,,0,0
5091,,668,466,2025-09-02 10:02:06.000,,7,,0,0
5092,,668,568,2025-09-02 10:02:09.000,,7,,0,0
5093,,668,620,2025-09-02 10:02:11.000,,7,,0,0
5094,,549,2191,2025-09-02 10:02:16.000,,1,,0,0
5095,,549,1889,2025-09-02 10:02:41.000,,1,,0,0
5101,,549,553,2025-09-02 10:05:33.000,,7,,0,0
5102,,549,651,2025-09-02 10:06:23.000,,7,,0,0
5103,,669,1801,2025-09-02 10:06:46.000,,7,,0,0
5104,,669,1906,2025-09-02 10:07:04.000,,1,,0,0
5105,,669,485,2025-09-02 10:07:06.000,,7,,0,0
5106,,669,1814,2025-09-02 10:07:09.000,,7,,0,0
5107,,669,669,2025-09-02 10:07:12.000,,7,,0,0
5108,,595,1668,2025-09-02 10:07:18.000,,1,,0,0
5109,,595,1946,2025-09-02 10:07:24.000,,1,,0,0
5110,,595,443,2025-09-02 10:07:30.000,,7,,0,0
5111,,595,600,2025-09-02 10:07:32.000,,7,,0,0
5112,,595,643,2025-09-02 10:07:33.000,,7,,0,0
5113,,733,1630,2025-09-02 10:07:40.000,,7,,0,0
5114,,733,1943,2025-09-02 10:08:01.000,,1,,0,0
5115,,733,448,2025-09-02 10:08:03.000,,7,,0,0
5116,,733,574,2025-09-02 10:08:06.000,,7,,0,0
5117,,733,625,2025-09-02 10:08:07.000,,7,,0,0
5118,,679,614,2025-09-02 10:08:15.000,,7,,0,0
5119,,679,1941,2025-09-02 10:08:19.000,,1,,0,0
5120,,679,481,2025-09-02 10:08:21.000,,7,,0,0
5121,,679,534,2025-09-02 10:08:23.000,,7,,0,0
5122,,679,1664,2025-09-02 10:08:26.000,,1,,0,0
5123,,635,1928,2025-09-02 10:08:31.000,,1,,0,0
5124,,635,2195,2025-09-02 10:08:42.000,,1,,0,0
5125,,635,576,2025-09-02 10:08:44.000,,7,,0,0
5126,,635,463,2025-09-02 10:08:46.000,,7,,0,0
5127,,635,649,2025-09-02 10:08:48.000,,7,,0,0
5128,,680,2194,2025-09-02 10:08:57.000,,1,,0,0
5129,,680,1942,2025-09-02 10:09:12.000,,1,,0,0
5130,,680,439,2025-09-02 10:09:14.000,,7,,0,0
5131,,680,555,2025-09-02 10:09:18.000,,7,,0,0
5132,,680,645,2025-09-02 10:09:20.000,,7,,0,0
5133,,638,1660,2025-09-02 10:09:28.000,2026-01-05 15:18:13.000,1,1,0,0
5134,,638,2199,2025-09-02 10:09:36.000,2026-01-27 16:23:46.000,1,1,0,0
5135,,638,519,2025-09-02 10:09:38.000,2026-01-27 16:23:52.000,7,7,0,0
5136,,638,558,2025-09-02 10:09:41.000,2026-01-27 16:23:58.000,7,7,0,0
5137,,638,675,2025-09-02 10:09:43.000,,7,,0,0
5138,,683,1651,2025-09-02 10:09:50.000,,7,,0,0
5139,,683,2211,2025-09-02 10:09:55.000,,1,,0,0
5140,,683,468,2025-09-02 10:09:57.000,,7,,0,0
5141,,683,603,2025-09-02 10:09:59.000,,7,,0,0
5142,,683,635,2025-09-02 10:10:00.000,,7,,0,0
5143,,690,1646,2025-09-02 10:10:07.000,,7,,0,0
5144,,690,1944,2025-09-02 10:10:15.000,,1,,0,0
5145,,690,486,2025-09-02 10:10:17.000,,7,,0,0
5146,,690,525,2025-09-02 10:10:19.000,,7,,0,0
5147,,690,668,2025-09-02 10:10:21.000,,7,,0,0
5148,,693,660,2025-09-02 10:10:30.000,,7,,0,0
5149,,693,566,2025-09-02 10:11:26.000,,7,,0,0
5150,,693,477,2025-09-02 10:11:29.000,,7,,0,0
